trade_date,position_count,total_cost_value,total_market_value,total_pnl,total_pnl_ratio
20260506,1,13825.8,13734.0,-91.8,-0.00664
20260507,1,16013.2,15008.0,-1005.2,-0.062773
20260508,1,16013.2,15008.0,-1005.2,-0.062773
20260511,1,16013.2,14987.0,-1026.2,-0.064085
20260512,1,16013.2,14728.0,-1285.2,-0.080259
20260513,1,16013.2,14539.0,-1474.2,-0.092062
20260514,1,16013.2,14224.0,-1789.2,-0.111733
20260515,1,16013.2,14805.0,-1208.2,-0.07545
20260518,1,16013.2,15428.0,-585.2,-0.036545
20260519,1,16013.2,15225.0,-788.2,-0.049222
20260520,1,16013.2,14973.0,-1040.2,-0.064959
20260521,1,16013.2,14224.0,-1789.2,-0.111733
20260522,1,16013.2,14007.0,-2006.2,-0.125284
20260525,1,16013.2,14539.0,-1474.2,-0.092062
20260526,1,0.0,0.0,0.0,0.0
20260527,1,0.0,0.0,0.0,0.0
20260528,1,0.0,0.0,0.0,0.0
20260529,1,0.0,0.0,0.0,0.0
20260601,1,0.0,0.0,0.0,0.0
20260602,1,0.0,0.0,0.0,0.0
20260603,1,0.0,0.0,0.0,0.0
20260604,1,0.0,0.0,0.0,0.0
20260605,1,0.0,0.0,0.0,0.0
20260608,1,0.0,0.0,0.0,0.0
20260609,1,0.0,0.0,0.0,0.0
20260610,2,3994.4,4218.0,223.6,0.055978
20260611,2,3994.4,4640.0,645.6,0.161626
20260612,2,3994.4,5104.0,1109.6,0.277789
20260615,2,3994.4,5614.0,1619.6,0.405468
20260616,2,1111.2,2888.0,1776.8,1.598992
20260617,2,1111.2,2847.0,1735.8,1.562095
